snapshot,N,method,rank,n_mc_samples,batch,factorization_seconds,pom_seconds,total_seconds,peak_memory_mb,qpo_objective,qpo_efficiency_normalised,tv_error,l1_error,max_abs_error,spearman,qpo_efficiency,top10_recall,top10_jaccard,top25_recall,top25_jaccard,top50_recall,top50_jaccard,top100_recall,top100_jaccard,mean_tanimoto,median_tanimoto,p90_tanimoto,max_tanimoto,frac_pairs_gt_0.4,batch_oracle_mean,batch_oracle_max,batch_oracle_top10,mc_seed,cov_offdiag_fro,cov_offdiag_rel,corr_offdiag_rmse,corr_offdiag_max,corr_true_rmse,diag_max_abs_err,quot_fro,quot_rel,sobol_nodes,quad_self_tv,min_d,eig_seconds
qm9_gap_seed11,2000,reference-2nd-seed,,10000000.0,100,0.0,326.6992139816284,326.6992139816284,,0.1186759,0.9994513458762166,0.007779399999999999,0.015558799999999998,3.720000000000004e-05,0.9987988189303398,0.9996824289719123,1.0,1.0,1.0,1.0,0.96,0.9230769230769231,0.98,0.9607843137254902,0.28227748977352696,0.26785714285714285,0.41509433962264153,0.797979797979798,0.11515151515151516,0.332614,0.3786,0.36614,,,,,,,,,,,,,
qm9_gap_seed11,2000,qPO-MC-10000,,10000.0,100,0.0,0.33974623680114746,0.33974623680114746,352.082784,0.10288280000000001,0.7696118381222933,0.17373619999999998,0.34747239999999996,0.0011730999999999998,0.6742562103079077,0.8666471238341691,0.4,0.25,0.4,0.25,0.46,0.2987012987012987,0.57,0.3986013986013986,0.2795220492883627,0.26785714285714285,0.4090909090909091,0.8292682926829268,0.10707070707070707,0.33203200000000005,0.3786,0.36659,0.0,,,,,,,,,,,,
qm9_gap_seed11,2000,qPO-MC-10000,,10000.0,100,0.0,0.3397970199584961,0.3397970199584961,352.082784,0.105603,0.8091993433614306,0.17276809999999998,0.34553619999999996,0.0011564000000000001,0.6975174312213397,0.8895610949377326,0.5,0.3333333333333333,0.6,0.42857142857142855,0.54,0.3698630136986301,0.58,0.4084507042253521,0.2864846898510195,0.2727272727272727,0.41822410147991557,0.896551724137931,0.12080808080808081,0.33063299999999995,0.3786,0.36536,1.0,,,,,,,,,,,,
qm9_gap_seed11,2000,qPO-MC-10000,,10000.0,100,0.0,0.34086108207702637,0.34086108207702637,352.082784,0.10577680000000002,0.8117286825315515,0.1722298,0.3444596,0.0009889,0.6804662694972965,0.8910251226481214,0.6,0.42857142857142855,0.56,0.3888888888888889,0.58,0.4084507042253521,0.59,0.41843971631205673,0.2871887383804281,0.27419354838709675,0.4074074074074074,0.896551724137931,0.10808080808080808,0.33255,0.3786,0.36756,2.0,,,,,,,,,,,,
qm9_gap_seed11,2000,qPO-MC-10000,,10000.0,100,0.0,0.341799259185791,0.341799259185791,352.082784,0.10560869999999999,0.8092822963721881,0.16774239999999999,0.33548479999999997,0.0010377,0.7075539418245513,0.889609109655507,0.5,0.3333333333333333,0.52,0.35135135135135137,0.52,0.35135135135135137,0.58,0.4084507042253521,0.27950208583292696,0.26666666666666666,0.41443638760711937,0.8607594936708861,0.11595959595959596,0.33133399999999996,0.3762,0.36307,3.0,,,,,,,,,,,,
qm9_gap_seed11,2000,qPO-MC-10000,,10000.0,100,0.0,0.3408970832824707,0.3408970832824707,352.082784,0.1033527,0.7764503679038793,0.17483739999999998,0.34967479999999995,0.0009128999999999999,0.6882718370195886,0.8706053897784248,0.4,0.25,0.44,0.28205128205128205,0.44,0.28205128205128205,0.54,0.3698630136986301,0.27523486728466223,0.2638888888888889,0.40425531914893614,0.797979797979798,0.10444444444444445,0.3319089999999999,0.3786,0.36653,4.0,,,,,,,,,,,,
qm9_gap_seed11,2000,qPO-fast-eig,0.0,0.0,100,0.33801865577697754,0.009805917739868164,0.3478245735168457,10.391618,0.11372489999999999,0.9273986517952776,0.07684270213908292,0.15368540427816585,0.0004984407583564958,0.8947190140659713,0.957977013585638,0.5,0.3333333333333333,0.6,0.42857142857142855,0.66,0.4925373134328358,0.78,0.639344262295082,0.3146614623391669,0.3,0.4583333333333333,0.9,0.18303030303030304,0.336213,0.3809,0.37171000000000004,,0.1678932981881068,1.0,0.08188298003550998,0.8676859849388324,0.08188298003550998,0.0,0.11872851410566057,0.9360530781052777,0.0,0.0,0.0004032825063310687,0.3379828929901123
qm9_gap_seed11,2000,qPO-factorMC,0.0,2000000.0,100,0.33801865577697754,27.979814291000366,28.317832946777344,480.099096,0.1133235,0.9215570134587621,0.0774412,0.1548824,0.0004946,0.8927277506500542,0.9545957666181466,0.6,0.42857142857142855,0.6,0.42857142857142855,0.68,0.5151515151515151,0.78,0.639344262295082,0.3137268550038926,0.2982456140350877,0.4559081527347782,0.9,0.1804040404040404,0.33607,0.3809,0.37171000000000004,,0.1678932981881068,1.0,0.08188298003550998,0.8676859849388324,0.08188298003550998,0.0,0.11872851410566057,0.9360530781052777,,,,
qm9_gap_seed11,2000,qPO-fast-eig,2.0,0.0,100,0.33808374404907227,6.4746339321136475,6.81271767616272,301.767225,0.1173315,0.9798860778652262,0.0327978122978438,0.0655956245956876,0.0004273325643225237,0.9794215934847854,0.988357694484878,0.8,0.6666666666666666,0.84,0.7241379310344828,0.86,0.7543859649122807,0.89,0.8018018018018018,0.28639127514611656,0.2641509433962264,0.43478260869565216,0.9,0.1408080808080808,0.33374500000000007,0.3809,0.37164,,0.09851284271788237,0.5867586364734408,0.047459799339564464,0.7968944969299272,0.08188298003550998,2.168404344971009e-19,0.09798431369619727,0.7725062436116662,1024.0,0.00012102264683598963,0.00039653735376322024,0.3379828929901123
qm9_gap_seed11,2000,qPO-factorMC,2.0,2000000.0,100,0.33808374404907227,32.58927798271179,32.927361726760864,480.099096,0.117145,0.9771719135658734,0.0349659,0.0699318,0.0004414,0.9769963895418403,0.9867866866138337,0.8,0.6666666666666666,0.8,0.6666666666666666,0.88,0.7857142857142857,0.88,0.7857142857142857,0.28866480527508814,0.26785714285714285,0.4375,0.9,0.14222222222222222,0.33412099999999995,0.3809,0.37164,,0.09851284271788237,0.5867586364734408,0.047459799339564464,0.7968944969299272,0.08188298003550998,2.168404344971009e-19,0.09798431369619727,0.7725062436116662,,,,
